Test Name,Remote Testing (Yes/No),Adaptive/IRT (Yes/No),Test Type,Link,Duration
Teller 7.0,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/teller-7-0/,20 minutes
Contact Center Sales & Service + 8.0,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,20 minutes
Director - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,20 minutes
"Bookkeeping, Accounting, Auditing Clerk Short Form",Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,20 minutes
.NET MVC (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,45 minutes
Written Spanish,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/written-spanish/,20 minutes
Workplace Safety - Individual 7.1 (Americas),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-1-solution/,20 minutes
Contact Center Sales & Service 8.0,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,20 minutes
Adobe Photoshop CC,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,20 minutes
Apprentice 8.0 Job Focused Assessment,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,20 minutes
Apprentice + 8.0 Job Focused Assessment,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,20 minutes
Apache HBase (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,20 minutes
.NET Framework 4.5,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,45 minutes
Automata - Fix (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,20 minutes
Workplace Safety Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-solution/,20 minutes
Workplace Safety - Team 7.1 (International),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-solution/,20 minutes
Global Skills Development Report,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,45 minutes
Contact Center Team Lead/Coach - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,20 minutes
Entry Level Customer Service 7.1 (International),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,20 minutes
Written English v1,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,20 minutes
AngularJS (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,45 minutes
Accounts Payable (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,20 minutes
360 Digital Report,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,20 minutes
Contact Centre Agent Solution - UK,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,20 minutes
.NET WPF (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,45 minutes
AI Skills,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,20 minutes
Workplace Safety - Team 7.0 Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-0-solution/,20 minutes
Claims/Operations Supervisor Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,20 minutes
Event Sales Manager Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,20 minutes
Account Manager Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,20 minutes
Agile Software Development,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,7 minutes
Entry Level Sales Sift Out 7.1,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,20 minutes
Transcriptionist Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/transcriptionist-solution/,20 minutes
Android Development (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,45 minutes
Agency Manager Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,20 minutes
Teller with Sales - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/teller-with-sales-short-form/,20 minutes
Workplace Safety - Team 7.1 (Americas),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,20 minutes
Contact Center Manager - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,20 minutes
ASP.NET 4.5,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,45 minutes
Bank Operations Supervisor - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,20 minutes
360° Multi-Rater Feedback System (MFS),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,20 minutes
ADO.NET (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,45 minutes
Apache Hadoop (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,20 minutes
Executive - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,20 minutes
Entry level Sales 7.1 (International),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,20 minutes
Zabbix (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/zabbix-new/,20 minutes
Customer Service - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,20 minutes
Customer Service - Short Form - UK,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,20 minutes
Entry Level Customer Service 7.1 (South Africa),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,20 minutes
Automata - SQL (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,45 minutes
Entry level Sales 7.1 (Americas),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,20 minutes
.NET WCF (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,45 minutes
Financial Professional - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,20 minutes
Entry Level Cashier 7.1 (Americas),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,20 minutes
Branch Manager - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,20 minutes
Administrative Professional - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,20 minutes
Cashier Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,20 minutes
Accounts Receivable (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,20 minutes
Aerospace Engineering (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,20 minutes
Aeronautical Engineering (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,20 minutes
Accounts Receivable Simulation (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,20 minutes
Apache Spark (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,20 minutes
.NET MVVM (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,45 minutes
Accounts Payable Simulation (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,20 minutes
Entry Level Cashier 7.1 (International),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,20 minutes
.NET XAML (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,45 minutes
Apache Hive (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,20 minutes
Assessment and Development Center Exercises,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,45 minutes
Bank Administrative Assistant - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,20 minutes
Agile Testing (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,20 minutes
Automata (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/automata-new/,20 minutes
Angular 6 (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,45 minutes
Bilingual Spanish Reservation Agent Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,20 minutes
Apache Pig (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,20 minutes
ASP .NET with C# (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,45 minutes
Workplace Safety - Individual 7.0 Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/workplace-safety-individual-7-0-solution/,20 minutes
Entry Level Customer Service 7.1 (Americas),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,20 minutes
Apache Hadoop Extensions (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,20 minutes
Adobe Experience Manager (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,20 minutes
District/Regional Manager Solution,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/districtregional-manager-solution/,20 minutes
Contact Center Customer Service + 8.0,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,20 minutes
Bank Collections Agent - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,20 minutes
Contact Center Customer Service 8.0,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,20 minutes
Amazon Web Services (AWS) Development (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,45 minutes
Customer Service with Sales - Short Form,Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,20 minutes
Apache Kafka (New),Yes,Yes,Cognitive Ability,https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,20 minutes
Behavioral Assessments,Unknown,Unknown,Personality Assessment,https://www.shl.com/solutions/products/assessments/,25 minutes
Virtual Assessment & Development Centers,Unknown,Yes,Unknown,https://www.shl.com/solutions/products/assessments/,45 minutes
Personality Assessments,Unknown,Unknown,Personality Assessment,https://www.shl.com/solutions/products/assessments/,25 minutes
Cognitive Assessments,Unknown,Unknown,Cognitive Ability,https://www.shl.com/solutions/products/assessments/,20 minutes
Skills and Simulations,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/,Unknown
Job Focused Assessments,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/,Unknown
verify g plus,Yes,Yes,Unknown,https://www.shl.com/assets/documents/rebranded-assets/product-factsheet-verify-g-plus.pdf,Unknown
verify deductive reasoning,Yes,Yes,Cognitive Ability,https://www.shl.com/assets/documents/rebranded-assets/product-factsheet-verify-deductive-reasoning.pdf,20 minutes
verify interactive inductive,Yes,Yes,Unknown,https://www.shl.com/assets/documents/rebranded-assets/product-factsheet-verify-interactive-inductive.pdf,20 minutes
verify interactive numerical reasoning,Yes,Yes,Cognitive Ability,https://www.shl.com/assets/documents/rebranded-assets/product-factsheet-verify-interactive-numerical-reasoning.pdf,20 minutes
SHL's Cognitive Assessments,Unknown,Unknown,Cognitive Ability,https://www.shl.com/solutions/products/assessments/cognitive-assessments/,20 minutes
SHL Verify G+ Test,Unknown,Yes,Unknown,https://www.shl.com/assets/documents/rebranded-assets/product-factsheet-verify-g-plus.pdf,Unknown
SHL Verify Deductive Reasoning,Unknown,Yes,Unknown,https://www.shl.com/assets/documents/rebranded-assets/product-factsheet-verify-deductive-reasoning.pdf,20 minutes
SHL Verify Interactive – Inductive Reasoning,Unknown,Yes,Unknown,https://www.shl.com/assets/documents/rebranded-assets/product-factsheet-verify-interactive-inductive.pdf,20 minutes
SHL Verify Interactive – Numerical Reasoning,Unknown,Yes,Unknown,https://www.shl.com/assets/documents/rebranded-assets/product-factsheet-verify-interactive-numerical-reasoning.pdf,20 minutes
Our Assessment Science,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/cognitive-assessments/,Unknown
Graduate Hiring,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/cognitive-assessments/,Unknown
Technology Hiring,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/cognitive-assessments/,Unknown
Competency Fit,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/cognitive-assessments/,Unknown
SHL Mobilize,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/cognitive-assessments/,Unknown
SHL Occupational Personality Questionnaire (OPQ),Unknown,Unknown,Personality Assessment,https://www.shl.com/solutions/products/assessments/personality-assessment/,25 minutes
SHL Motivational Questionnaire (MQ),Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/personality-assessment/,Unknown
Technical Skills,Unknown,Unknown,Technical Skills,https://www.shl.com/solutions/products/assessments/skills-and-simulations/,45 minutes
Coding Simulations,Unknown,Unknown,Technical Skills,https://www.shl.com/solutions/products/assessments/skills-and-simulations/,45 minutes
Language Skills,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/skills-and-simulations/,Unknown
Contact Center Simulation,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/skills-and-simulations/,Unknown
Business Skills,Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/skills-and-simulations/,Unknown
"And many, many more!",Unknown,Unknown,Unknown,https://www.shl.com/solutions/products/assessments/skills-and-simulations/,Unknown
